baseline_growth_iou,baseline_growth_tolerance_f1,baseline_hausdorff_95_m,baseline_mean_boundary_distance_m,baseline_perimeter_iou,delta_growth_iou,delta_growth_tolerance_f1,delta_hausdorff_95_m,delta_mean_boundary_distance_m,delta_perimeter_iou,history_growth_iou,history_growth_tolerance_f1,history_hausdorff_95_m,history_mean_boundary_distance_m,history_perimeter_iou,incident_code,spread_adjustment,start_index,target_index
0.09717607973421927,0.2373784739955243,3542.2511529005674,989.4932648019433,0.5506407606448945,-0.09717607973421927,-0.2373784739955243,-2726.697568064021,-768.0738937452868,0.23832027831614444,0.0,0.0,815.5535848365463,221.41937105665653,0.788961038961039,AZ-SCA-001418_DryLake,0.987,3,4
0.0019011406844106464,0.009394081728511038,3725.2917375294087,1034.0395926688761,0.5949074074074074,0.00037676364360757675,0.0018355645376315777,-935.3470885710153,-243.4589439502165,0.04280971418068191,0.002277904328018223,0.011229646266142616,2789.9446489583934,790.5806487186596,0.6377171215880894,AZ-SCA-001418_DryLake,0.987,4,5
0.015384615384615385,0.03278688524590164,211.2516264589221,46.86997629097718,0.9461732548359967,0.001008827238335435,0.0011114198388441215,0.0,-3.394942218313439,0.003193833771598209,0.01639344262295082,0.03389830508474576,211.2516264589221,43.47503407266374,0.9493670886075949,ID-IPF-000447_RidgeCreek,1.2,4,5
0.020833333333333332,0.1048951048951049,597.5098304231651,104.53632765705466,0.9263322884012539,-0.009597378277153557,-0.03671328671328672,0.0,-3.6230934284176897,0.00432176991237887,0.011235955056179775,0.06818181818181818,597.5098304231651,100.91323422863697,0.9306540583136328,ID-IPF-000447_RidgeCreek,1.2,5,6
0.04929577464788732,0.1927710843373494,666.3222280428583,135.9364486594156,0.9038461538461539,-0.034697234501901916,-0.1105793035154316,76.62251053591353,-0.4541801336716844,-0.00034365205916320196,0.014598540145985401,0.0821917808219178,742.9447385787719,135.4822685257439,0.9035025017869907,ID-IPF-000447_RidgeCreek,1.2,6,7
0.011363636363636364,0.049079754601226995,334.0181495126423,67.27808745659111,0.9412955465587044,-0.011363636363636364,-0.024388396576535635,0.0,-4.67817949625497,0.003789199204007443,0.0,0.02469135802469136,334.0181495126423,62.59990796033614,0.9450847457627118,ID-IPF-000447_RidgeCreek,1.2,7,8
0.08,0.27005275865152467,2171.823818284059,771.4054759683579,0.44648511716276124,-0.026581196581196585,-0.06364343600039576,22.87743119974448,16.387251503179982,-0.012619302466275628,0.053418803418803416,0.2064093226511289,2194.7012494838036,787.7927274715379,0.4338658146964856,NM-GNF-000382_Davis,3.5,1,2
0.1,0.3143952596723597,542.9368255954801,98.10367718405077,0.9017805858701895,-0.0244186046511628,-0.018762560904162617,-25.474749396479183,-15.185896656949794,0.0059385087322481045,0.0755813953488372,0.2956326987681971,517.4620761990009,82.91778052710097,0.9077190946024376,NM-GNF-000382_Davis,3.5,2,3
0.056910569105691054,0.17796610169491522,443.3638577542009,89.94471129615667,0.9363686231486561,-0.02301226402094529,-0.05675398048279401,10.480405863397834,-4.617698314063972,0.0009251062242812136,0.03389830508474576,0.12121212121212122,453.84426361759876,85.3270129820927,0.9372937293729373,NM-GNF-000382_Davis,3.5,3,4
0.0,0.0,202.96532492945707,33.326795310969615,0.9743309666848716,0.0,0.0,-47.55773386088623,-5.618332988317491,0.0015990114332903316,0.0,0.0,155.40759106857084,27.708462322652124,0.975929978118162,NM-GNF-000382_Davis,3.5,4,5
0.0,0.0,1589.9928487832258,527.4390192245924,0.6539649845520082,0.0,0.0,0.0,0.37065048621047936,-0.0003365748762491627,0.0,0.0,1589.9928487832258,527.8096697108028,0.6536284096757591,UT-VLD-000127_Bear,1.2,1,2
0.0,0.0,939.7254526951292,187.50249910147718,0.850262697022767,0.0,0.0,0.0,0.6296317941005896,-0.0003721062131389896,0.0,0.0,939.7254526951292,188.13213089557777,0.849890590809628,UT-VLD-000127_Bear,1.2,2,3
0.005319148936170213,0.03669724770642202,677.6456609101796,112.00788344866201,0.9241994325091204,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.03669724770642202,677.6456609101796,112.00788344866201,0.9241994325091204,UT-VLD-000127_Bear,1.2,3,4
